titre,ville,code_postal,prix,surface,type_bien,pieces,url,prix_m2,latitude,longitude
Appartement à vendre 3 pièces proche de vincennes (94),Vincennes,94300,435000,56,Appartements,3,https://www.etreproprio.com/immobilier-23695387-vente-appartement-a-vendre-3-pieces-proche-de-vincennes-94-vincennes,7768,48.8474508,2.4396714
Vincennes - rue defrance,Vincennes,94300,650000,82,Appartements,4,https://www.etreproprio.com/immobilier-23564279-vente-vincennes-rue-defrance-vincennes,7927,48.8474508,2.4396714
Vincennes ouest,Vincennes,94300,480000,50,Appartements,3,https://www.etreproprio.com/immobilier-23771547-vente-vincennes-ouest-vincennes,9600,48.8474508,2.4396714
Appartement 49m² à vincennes,Vincennes,94300,399000,49,Appartements,2,https://www.etreproprio.com/immobilier-23751764-vente-appartement-49m-a-vincennes-vincennes,8143,48.8474508,2.4396714
Appartement vincennes 2 pièce(s) 34 m2,Vincennes,94300,295000,35,Appartements,2,https://www.etreproprio.com/immobilier-23754143-vente-appartement-vincennes-2-pieces-34-m2-vincennes,8429,48.8474508,2.4396714
Appartement 38m² à vincennes,Vincennes,94300,350000,38,Appartements,2,https://www.etreproprio.com/immobilier-23752948-vente-appartement-38m-a-vincennes-vincennes,9211,48.8474508,2.4396714
Appartement 4 pièces - 3 chambres,Vincennes,94300,695000,68,Appartements,4,https://www.etreproprio.com/immobilier-23556359-vente-appartement-4-pieces-3-chambres-vincennes,10221,48.8474508,2.4396714
Maison 120m² à vincennes,Vincennes,94300,959900,120,Maisons,5,https://www.etreproprio.com/immobilier-23355763-vente-maison-120m-a-vincennes-vincennes,7999,48.8474508,2.4396714
Appartement vincennes 3 pièce(s),Vincennes,94300,567000,53,Appartements,3,https://www.etreproprio.com/immobilier-23745518-vente-appartement-vincennes-3-pieces-vincennes,10698,48.8474508,2.4396714
"Appartement 3 pièces vincennes, dernier étage, proche bois",Vincennes,94300,429000,59,Appartements,3,https://www.etreproprio.com/immobilier-23740976-vente-appartement-3-pieces-vincennes-dernier-etage-proche-bois-vincennes,7271,48.8474508,2.4396714
Appartement 35m² à vincennes,Vincennes,94300,260000,35,Appartements,2,https://www.etreproprio.com/immobilier-23741822-vente-appartement-35m-a-vincennes-vincennes,7429,48.8474508,2.4396714
Appartement 92m² à vincennes,Vincennes,94300,899000,93,Appartements,4,https://www.etreproprio.com/immobilier-23741498-vente-appartement-92m-a-vincennes-vincennes,9667,48.8474508,2.4396714
Appartement de 2 pièces de 43m²,Vincennes,94300,442000,43,Appartements,2,https://www.etreproprio.com/immobilier-23739984-vente-appartement-de-2-pieces-de-43m-vincennes,10279,48.8474508,2.4396714
Parking 12m² à vincennes,Vincennes,94300,38000,12,Parkings,,https://www.etreproprio.com/immobilier-23531607-vente-parking-12m-a-vincennes-vincennes,3167,48.8474508,2.4396714
Appartement 60m² à vincennes,Vincennes,94300,499000,60,Appartements,3,https://www.etreproprio.com/immobilier-23731191-vente-appartement-60m-a-vincennes-vincennes,8317,48.8474508,2.4396714
120m² à vincennes,Vincennes,94300,860000,120,Autres,,https://www.etreproprio.com/immobilier-23711719-vente-120m-a-vincennes-vincennes,7167,48.8474508,2.4396714
Appartement 32m² à vincennes,Vincennes,94300,295000,32,Appartements,1,https://www.etreproprio.com/immobilier-23714903-vente-appartement-32m-a-vincennes-vincennes,9219,48.8474508,2.4396714
"Villeurbanne, maison de ville de 166m2 + cave + 3 garages + cour intérieur...",Villeurbanne,69100,852800,166,Maisons,10,https://www.etreproprio.com/immobilier-23978545-vente-villeurbanne-maison-de-ville-de-166m2-cave-3-garages-cour-interieur-villeurbanne,5137,45.7733573,4.8868454
Appartement 70m² à villeurbanne,Villeurbanne,69100,259000,70,Appartements,3,https://www.etreproprio.com/immobilier-23078644-vente-appartement-70m-a-villeurbanne-villeurbanne,3700,45.7733573,4.8868454
Appartement 60m² à villeurbanne,Villeurbanne,69100,235000,60,Appartements,3,https://www.etreproprio.com/immobilier-23971129-vente-appartement-60m-a-villeurbanne-villeurbanne,3917,45.7733573,4.8868454
Appartement 44m² à villeurbanne,Villeurbanne,69100,198000,44,Appartements,2,https://www.etreproprio.com/immobilier-23970802-vente-appartement-44m-a-villeurbanne-villeurbanne,4500,45.7733573,4.8868454
